year,month,day,avg_temp
2011,9,29,18.5
2011,9,30,17.5
2011,10,1,18.0
2011,10,2,18.5
2011,10,3,17.0
2011,10,4,18.5
2011,10,5,18.5
2011,10,6,18.5
2011,10,7,10.5
2011,10,8,9.5
2011,10,9,9.0
2011,10,10,12.0
2011,10,11,17.0
2011,10,12,12.0
2011,10,13,9.5
2011,10,14,7.0
2011,10,15,6.5
2011,10,16,5.0
2011,10,17,5.5
2011,10,18,7.0
2011,10,19,12.5
2011,10,20,7.0
2011,10,21,7.0
2011,10,22,9.5
2011,10,23,10.0
2011,10,24,9.0
2011,10,25,10.5
2011,10,26,9.5
2011,10,27,8.5
2011,10,28,8.0
2011,10,29,8.5
2011,10,30,8.0
2011,10,31,9.0
2011,11,1,8.0
2011,11,2,9.0
2011,11,3,8.5
2011,11,4,8.5
2011,11,5,9.0
2011,11,6,10.0
2011,11,7,9.5
2011,11,8,8.0
2011,11,9,9.0
2011,11,10,5.0
2011,11,11,2.5
2011,11,12,3.0
2011,11,13,2.5
2011,11,14,2.5
2011,11,15,2.5
2011,11,16,2.0
2011,11,17,1.0
2011,11,21,0.0
2011,11,22,-0.5
2011,11,23,2.0
2011,11,24,0.0
2011,11,25,0.5
2011,11,26,0.5
2011,11,27,2.0
2011,11,28,3.0
2011,11,29,2.0
2011,11,30,1.0
2011,12,1,0.0
2011,12,2,-1.5
2011,12,3,0.0
2011,12,4,5.0
2011,12,5,7.5
2011,12,6,3.5
2011,12,7,2.0
2011,12,8,3.0
2011,12,9,4.0
2011,12,10,5.5
2011,12,11,3.5
2011,12,12,4.0
2011,12,13,5.0
2011,12,14,3.5
2011,12,15,5.0
2011,12,16,3.5
2011,12,17,3.0
2011,12,18,1.5
2011,12,19,1.5
2011,12,20,0.5
2011,12,21,-0.5
2011,12,22,-1.0
2011,12,23,0.0
2011,12,24,0.0
2011,12,25,1.0
2011,12,26,1.5
2011,12,27,2.0
2011,12,28,1.0
2011,12,29,0.0
2011,12,30,1.0
2011,12,31,0.5
2012,1,1,1.0
2012,1,2,2.0
2012,1,3,3.5
2012,1,4,3.5
2012,1,5,2.0
2012,1,6,2.5
2012,1,7,1.5
2012,1,8,2.0
2012,1,9,1.5
2012,1,10,1.0
2012,1,11,1.0
2012,1,12,3.5
2012,1,13,3.0
2012,1,14,0.5
2012,1,15,-0.5
2012,1,16,-1.0
2012,1,17,-2.5
2012,1,18,-0.5
2012,1,19,0.0
2012,1,20,1.0
2012,1,21,0.0
2012,1,22,2.5
2012,1,23,3.5
2012,1,24,2.5
2012,1,25,0.0
2012,1,26,-1.0
2012,1,27,-1.5
2012,1,28,-3.0
